time,data
11.3,-83.6970499496197
11.325,-83.6970492713284
11.35,-83.6970485921084
11.375,-83.6970479119708
11.4,-83.6970472309199
11.425,-83.6970465489686
11.45,-83.6970458661221
11.475,-83.6970451823946
11.5,-83.6970444977927
11.525,-83.6970438123321
11.55,-83.6970431260211
11.575,-83.6970424388772
11.6,-83.6970417509001
11.625,-83.6970410621086
11.65,-83.6970403725264
11.675,-83.6970396821783
11.7,-83.6970389910781
11.725,-83.6970382992471
11.75,-83.6970376066978
11.775,-83.6970369134511
11.8,-83.6970362195194
11.825,-83.6970355249238
11.85,-83.6970348296776
11.875,-83.6970341338027
11.9,-83.6970334373128
11.925,-83.6970327402306
11.95,-83.6970320425706
11.975,-83.6970313443559
12,-83.6970306456016
12.025,-83.6970299463311
12.05,-83.6970292465601
12.075,-83.6970285463122
12.1,-83.6970278456034
12.125,-83.6970271444572
12.15,-83.6970264428903
12.175,-83.697025740926
12.2,-83.6970250385803
12.225,-83.6970243358762
12.25,-83.6970236328299
12.275,-83.6970229294646
12.3,-83.6970222257973
12.325,-83.697021521851
12.35,-83.6970208176431
12.375,-83.6970201131963
12.4,-83.6970194085281
12.425,-83.6970187036606
12.45,-83.697017998611
12.475,-83.6970172934003
12.5,-83.6970165880455
12.525,-83.6970158825665
12.55,-83.6970151769797
12.575,-83.6970144713042
12.6,-83.6970137655554
12.625,-83.6970130597509
12.65,-83.6970123539054
12.675,-83.6970116480349
12.7,-83.6970109421534
12.725,-83.6970102362754
12.75,-83.6970095304137
12.775,-83.6970088245817
12.8,-83.6970081187911
12.825,-83.6970074130539
12.85,-83.6970067073811
12.875,-83.6970060017841
12.9,-83.6970052962739
12.925,-83.6970045908605
12.95,-83.6970038855544
12.975,-83.6970031803645
13,-83.6970024752983
13.025,-83.6970017703627
13.05,-83.6970010655655
13.075,-83.6970003609125
13.1,-83.6969996564109
13.125,-83.6969989520652
13.15,-83.6969982478816
13.175,-83.6969975438635
13.2,-83.6969968400162
13.225,-83.6969961363416
13.25,-83.6969954328441
13.275,-83.6969947295246
13.3,-83.6969940263868
13.325,-83.6969933234305
13.35,-83.6969926206583
13.375,-83.6969919180692
13.4,-83.6969912156653
13.425,-83.6969905134446
13.45,-83.6969898114086
13.475,-83.6969891095537
13.5,-83.6969884078803
13.525,-83.6969877063835
13.55,-83.6969870050623
13.575,-83.6969863039106
13.6,-83.6969856029267
13.625,-83.6969849021038
13.65,-83.6969842014395
13.675,-83.6969835009261
13.7,-83.6969828005551
13.725,-83.6969821003179
13.75,-83.6969814002122
13.775,-83.6969807002311
13.8,-83.6969800003727
13.825,-83.6969793006298
13.85,-83.6969786009996
13.875,-83.6969779014738
13.9,-83.6969772020487
13.925,-83.6969765027153
13.95,-83.6969758034691
13.975,-83.6969751043007
14,-83.6969744052048
14.025,-83.6969737061711
14.05,-83.6969730071937
14.075,-83.6969723082614
14.1,-83.6969716093672
14.125,-83.6969709104999
14.15,-83.6969702116518
14.175,-83.6969695128114
14.2,-83.696968813971
14.225,-83.6969681151192
14.25,-83.6969674162481
14.275,-83.6969667173464
14.3,-83.6969660184064
14.325,-83.6969653194172
14.35,-83.696964620368
14.375,-83.6969639212484
14.4,-83.6969632220528
14.425,-83.6969625227729
14.45,-83.6969618234038
14.475,-83.6969611239376
14.5,-83.6969604243691
14.525,-83.6969597246905
14.55,-83.6969590248962
14.575,-83.6969583249783
14.6,-83.6969576249312
14.625,-83.6969569247473
14.65,-83.6969562244207
14.675,-83.6969555239441
14.7,-83.6969548233114
14.725,-83.6969541225157
14.75,-83.6969534215513
14.775,-83.6969527204118
14.8,-83.6969520190915
14.825,-83.6969513175847
14.85,-83.6969506158864
14.875,-83.6969499139915
14.9,-83.6969492118953
14.925,-83.6969485095936
14.95,-83.6969478070827
14.975,-83.6969471043594
15,-83.6969464014204
15.025,-83.6969456982632
15.05,-83.696944994885
15.075,-83.6969442912839
15.1,-83.6969435874575
15.125,-83.6969428834046
15.15,-83.6969421791234
15.175,-83.696941474613
15.2,-83.6969407698718
15.225,-83.6969400648999
15.25,-83.6969393596958
15.275,-83.6969386542602
15.3,-83.6969379485924
15.325,-83.6969372426941
15.35,-83.6969365365652
15.375,-83.696935830208
15.4,-83.6969351236228
15.425,-83.6969344168127
15.45,-83.6969337097789
15.475,-83.6969330025251
15.5,-83.6969322950534
15.525,-83.6969315873679
15.55,-83.6969308794707
15.575,-83.6969301713663
15.6,-83.6969294630603
15.625,-83.6969287545581
15.65,-83.6969280458617
15.675,-83.6969273369757
15.7,-83.6969266279022
15.725,-83.6969259186459
15.75,-83.6969252092095
15.775,-83.6969244995984
15.8,-83.696923789816
15.825,-83.6969230798681
15.85,-83.6969223697586
15.875,-83.6969216594941
15.9,-83.6969209490787
15.925,-83.6969202385194
15.95,-83.6969195278207
15.975,-83.6969188169897
16,-83.6969181060315
16.025,-83.6969173949534
16.05,-83.6969166837604
16.075,-83.6969159724602
16.1,-83.6969152610576
16.125,-83.6969145495607
16.15,-83.6969138379749
16.175,-83.6969131263084
16.2,-83.6969124145671
16.225,-83.6969117027594
16.25,-83.6969109908945
16.275,-83.696910278981
16.3,-83.6969095670235
16.325,-83.6969088550295
16.35,-83.6969081430035
16.375,-83.6969074309529
16.4,-83.6969067188825
16.425,-83.6969060068003
16.45,-83.6969052947117
16.475,-83.696904582625
16.5,-83.6969038705461
16.525,-83.6969031584836
16.55,-83.696902446444
16.575,-83.6969017344361
16.6,-83.6969010224666
16.625,-83.6969003105443
16.65,-83.6968995986763
16.675,-83.6968988868713
16.7,-83.6968981751363
16.725,-83.6968974634798
16.75,-83.6968967519104
16.775,-83.6968960404361
16.8,-83.6968953290629
16.825,-83.6968946177976
16.85,-83.6968939066457
16.875,-83.6968931956135
16.9,-83.6968924847065
16.925,-83.6968917739307
16.95,-83.6968910632921
16.975,-83.6968903527961
17,-83.6968896424486
17.025,-83.6968889322545
17.05,-83.6968882222194
17.075,-83.6968875123473
17.1,-83.6968868026418
17.125,-83.6968860931056
17.15,-83.6968853837431
17.175,-83.6968846745563
17.2,-83.696883965549
17.225,-83.6968832567225
17.25,-83.6968825480809
17.275,-83.6968818396251
17.3,-83.6968811313596
17.325,-83.6968804232844
17.35,-83.6968797154027
17.375,-83.6968790077131
17.4,-83.6968783002177
17.425,-83.6968775929134
17.45,-83.6968768858014
17.475,-83.6968761788765
17.5,-83.6968754721314
17.525,-83.6968747655581
17.55,-83.696874059155
17.575,-83.6968733529152
17.6,-83.6968726468371
17.625,-83.6968719409124
17.65,-83.6968712351388
17.675,-83.6968705295067
17.7,-83.6968698240117
17.725,-83.6968691186419
17.75,-83.6968684133901
17.775,-83.6968677082421
17.8,-83.6968670031882
17.825,-83.6968662982125
17.85,-83.6968655933037
17.875,-83.6968648884447
17.9,-83.6968641836238
17.925,-83.696863478823
17.95,-83.696862774023
17.975,-83.6968620692052
18,-83.6968613643571
18.025,-83.6968606594627
18.05,-83.6968599545098
18.075,-83.696859249483
18.1,-83.696858544369
18.125,-83.696857839152
18.15,-83.6968571338185
18.175,-83.6968564283533
18.2,-83.6968557227423
18.225,-83.696855016971
18.25,-83.6968543110242
18.275,-83.6968536048888
18.3,-83.6968528985503
18.325,-83.6968521919981
18.35,-83.6968514852243
18.375,-83.6968507782226
18.4,-83.6968500709828
18.425,-83.6968493635008
18.45,-83.696848655768
18.475,-83.6968479477841
18.5,-83.6968472395439
18.525,-83.6968465310516
18.55,-83.6968458223002
18.575,-83.6968451132992
18.6,-83.6968444040467
18.625,-83.69684369456
18.65,-83.6968429848439
18.675,-83.6968422749241
18.7,-83.6968415648058
18.725,-83.6968408545227
18.75,-83.6968401441163
18.775,-83.6968394336304
18.8,-83.6968387230791
18.825,-83.6968380125025
18.85,-83.6968373019154
18.875,-83.6968365913653
18.9,-83.6968358808685
18.925,-83.6968351704837
18.95,-83.6968344602396
18.975,-83.6968337502102
19,-83.6968330404426
19.025,-83.696832331028
19.05,-83.6968316220678
19.075,-83.6968309136634
19.1,-83.6968302058631
19.125,-83.6968294987591
19.15,-83.6968287924046
19.175,-83.696828086904
19.2,-83.6968273823267
19.225,-83.6968266787971
19.25,-83.6968259763948
19.275,-83.6968252752625
19.3,-83.696824575503
19.325,-83.6968238772801
19.35,-83.6968231807236
19.375,-83.6968224860198
19.4,-83.6968217933025
19.425,-83.6968211027716
19.45,-83.6968204146356
19.475,-83.6968197290965
19.5,-83.6968190462875
19.525,-83.6968183663904
19.55,-83.6968176896379
19.575,-83.6968170162816
19.6,-83.6968163465423
19.625,-83.6968156806773
19.65,-83.6968150188871
19.675,-83.696814361417
19.7,-83.6968137084767
19.725,-83.6968130603135
19.75,-83.6968124171306
19.775,-83.6968117791677
19.8,-83.6968111466561
19.825,-83.6968105198082
19.85,-83.6968098987781
19.875,-83.6968092837473
19.9,-83.6968086748733
19.925,-83.6968080723366
19.95,-83.6968074762918
19.975,-83.6968068869129
20,-83.6968063043782
20.025,-83.6968057288697
20.05,-83.6968051605586
20.075,-83.69680459961
20.1,-83.6968040461679
20.125,-83.6968035003535
20.15,-83.6968029622752
20.175,-83.6968024320274
20.2,-83.6968019097097
20.225,-83.6968013954009
20.25,-83.6968008891827
20.275,-83.696800391108
20.3,-83.6967999012429
20.325,-83.6967994196147
20.35,-83.6967989462734
20.375,-83.6967984812174
20.4,-83.6967980244638
20.425,-83.6967975759726
20.45,-83.6967971357368
20.475,-83.6967967036868
20.5,-83.69679627973
20.525,-83.6967958637636
20.55,-83.6967954557376
20.575,-83.696795055536
20.6,-83.6967946631053
20.625,-83.6967942783117
20.65,-83.6967939010674
20.675,-83.6967935312013
20.7,-83.6967931685985
20.725,-83.6967928130584
20.75,-83.696792464453
20.775,-83.6967921225644
20.8,-83.6967917872426
20.825,-83.6967914582472
20.85,-83.6967911354239
20.875,-83.6967908185226
20.9,-83.6967905073718
20.925,-83.6967902017081
20.95,-83.6967899013832
20.975,-83.6967896061292
21,-83.6967893157758
21.025,-83.6967890300361
21.05,-83.6967887487299
21.075,-83.6967884715635
21.1,-83.6967881983457
21.125,-83.6967879287766
21.15,-83.6967876626558
21.175,-83.6967873996823
21.2,-83.6967871396767
21.225,-83.6967868823443
21.25,-83.6967866273895
21.275,-83.6967863745387
21.3,-83.6967861236664
21.325,-83.6967858745443
21.35,-83.6967856270584
21.375,-83.6967853809819
21.4,-83.6967851361875
21.425,-83.69678489244
21.45,-83.6967846496044
21.475,-83.6967844074451
21.5,-83.6967841658455
21.525,-83.6967839245721
21.55,-83.696783683501
21.575,-83.6967834424001
21.6,-83.6967832011387
21.625,-83.69678295949
21.65,-83.6967827173171
21.675,-83.6967824743995
21.7,-83.6967822306152
21.725,-83.6967819857613
21.75,-83.6967817396434
21.775,-83.6967814920903
21.8,-83.6967812430375
21.825,-83.6967809923461
21.85,-83.6967807399539
21.875,-83.696780485722
21.9,-83.6967802295803
21.925,-83.6967799713896
21.95,-83.69677971107
21.975,-83.6967794484825
22,-83.696779183532
22.025,-83.6967789160791
22.05,-83.6967786460436
22.075,-83.6967783732996
22.1,-83.6967780977713
22.125,-83.6967778193389
22.15,-83.6967775379339
22.175,-83.6967772534466
22.2,-83.6967769658048
